,start_station_name,value
1575,W 21 St & 6 Ave,4237
1705,West St & Chambers St,4162
493,Broadway & W 58 St,3759
8,1 Ave & E 68 St,3553
285,6 Ave & W 33 St,3482
459,Broadway & E 14 St,3331
1499,University Pl & E 14 St,3273
483,Broadway & W 25 St,3260
1591,W 31 St & 7 Ave,3172
461,Broadway & E 21 St,3115
587,Cleveland Pl & Spring St,3087
785,E 33 St & 1 Ave,3081
29,12 Ave & W 40 St,3053
286,6 Ave & W 34 St,2987
1706,West St & Liberty St,2948
24,11 Ave & W 41 St,2881
1580,W 22 St & 10 Ave,2850
327,8 Ave & W 33 St,2849
560,Central Park S & 6 Ave,2847
336,9 Ave & W 22 St,2823
